CO_CODE	DIST_CODE	SCH_CODE	TOTAL	MATHEMATICS	CRITICAL_READING	WRITING	SAT_1550	N_STUDENTS_SCORED
7	680	30	1035	359	329	347	2.5	778
7	680	40	1006	344	334	328	0	360
7	680	245	1030	349	337	344	0	192
7	680	305	1103	373	377	353	0	107
7	700	30	1177	403	388	386	3	618
7	700	40	1168	394	391	383	3.7	799
7	800	30	1700	594	566	574	74.1	628
7	800	40	1533	518	501	514	47.2	685
7	940	30	1485	505	499	481	41.6	971
7	1255	50	1658	565	543	550	63.6	766
7	1770	50	1348	456	445	447	17.9	812
7	1880	50	1489	512	488	489	39.7	575
7	1890	50	1562	530	514	518	46	95
7	1900	50	1767	598	581	588	77	143
7	2670	5	1335	452	433	450	18.6	313
7	4060	50	1274	447	417	410	15	566
7	4110	10	1371	484	452	435	20.9	13
7	5035	50	1395	470	465	460	26.5	37
7	5820	10	1363	458	460	445	21.4	745
9	720	30	1469	495	494	480	31	380
9	2820	50	1429	483	476	470	30.5	535
9	3130	50	1453	499	483	471	35.1	943
9	3780	50	1479	512	488	479	39.2	763
9	5790	50	1274	441	420	413	10	950
11		20	1199	423	386	390	5.5	361
11		30	1380	472	454	454	28.5	32
11		50	1363	464	453	446	19.4	254
11		50	1411	490	464	457	28.1	127
13	250	20	1334	456	435	443	20.4	166
13	410	20	1375	467	453	455	22.7	341
13	660	50	1625	557	532	536	59.9	49
13	760	50	1506	511	490	505	34.1	651
13	1210	35	1156	398	385	373	4.1	645
13	1210	150	1262	431	415	416	10.1	323
13	1390	20	1294	454	420	420	11.9	33
13	1390	50	1146	411	362	373	1.8	20
13	1390	70	1195	416	386	393	3.2	559
13	1390	80	1103	379	355	369	0	950
13	1750	50	1719	579	575	565	68.9	162
13	2330	50	1132	386	372	374	5.6	668
13	2730	50	1749	600	567	582	71.2	965
13	3190	50	1861	637	609	615	79.8	536
13	3310	50	1628	548	539	541	58.6	881
13	3570	10	1241	426	398	417	3.3	605
13	3570	20	1012	350	331	331	0.7	343
13	3570	30	1063	365	345	353	2.3	968
13	3570	40	1239	437	399	403	6.5	65
13	3570	45	1070	354	350	366	2.9	726
13	3570	50	992	338	327	327	1.1	883
13	3570	55	1576	558	508	510	57.3	215
13	3570	56	1330	477	429	424	9.6	343
13	3570	57	1351	483	439	429	14.9	893
13	3570	70	1076	356	361	359	0	803
13	3570	80	1053	357	337	359	2.3	89
13	3570	87	1226	414	409	403	5.3	732
13	3570	304	1332	460	433	439	25.9	69
13	3570	305	941	293	309	339	0	641
13	3750	50	1518	526	494	498	43.1	612
13	3880	50	1121	382	369	370	3.1	587
13	4900	30	1583	540	522	521	54.1	959
13	5370	50	1557	525	524	508	51.1	708
13	5630	50	1569	539	507	523	50.9	10
13	5680	50	1433	487	468	478	34.7	154
15	860	30	1334	458	441	435	21.3	378
15	870	20	1536	537	503	496	45.8	679
15	1100	40	1416	495	467	454	26.2	741
15	1715	50	1453	506	476	471	35.5	725
15	1730	50	1381	484	453	444	24.1	432
15	1775	10	1453	484	483	486	32.7	669
15	2440	50	1504	515	500	489	41.9	146
15	3280	50	1437	498	478	461	29.1	463
15	4020	50	1247	429	421	397	9.6	710
15	4140	50	1449	502	481	466	34.1	549
15	4940	50	1455	510	478	467	32.2	886
15	5500	10	1520	522	503	495	43.4	934
15	5620	50	1511	525	492	494	39.8	952
15	5860	50	1381	476	453	452	30.1	398
17	220	20	1373	476	446	451	24.2	282
17	2060	50	1328	466	428	434	17.3	741
17	2210	5	1190	402	403	385	8.1	808
17	2295	30	1415	497	459	459	30.2	856
17	2295	50	1638	558	538	542	64.8	110
17	2390	50	1134	390	372	372	4	83
17	2390	60	1193	413	383	397	6.8	976
17	2390	70	1136	392	375	369	1.7	584
17	2390	75	1776	613	582	581	88.6	633
17	2390	80	1247	439	398	410	10.5	891
17	2390	82	1254	427	406	421	13.2	286
17	2410	50	1390	485	456	449	24.9	689
17	3610	50	1317	462	426	429	14.4	401
17	4730	50	1417	491	457	469	27.7	150
17	5240	55	1220	426	396	398	9.4	85
17	5580	50	1402	498	454	450	25.5	256
17	5670	50	1287	455	422	410	11.8	927
19	1050	40	1598	538	533	527	54.8	597
19	2300	50	1652	568	540	544	64.8	925
19	3660	50	1687	579	559	549	67.5	728
19	3660	60	1654	568	547	539	68.2	50
19	4890	50	1650	562	555	533	56.8	589
21	1245	50	1578	540	515	523	56.7	341
21	1430	50	1342	444	451	447	25.6	376
21	1950	50	1497	509	496	492	41.3	758
21	1950	55	1420	488	471	461	29.3	360
21	1950	60	1371	467	457	447	24.7	485
21	2280	30	1722	591	564	567	72.9	333
21	2580	40	1528	516	508	504	44.7	716
21	4255	50	1848	629	608	611	83.2	551
21	5210	30	1101	338	399	364	11.1	879
21	5210	50	1158	393	386	379	3.3	237
21	5210	51	1274	431	424	419	21.3	843
21	5510	30	1610	554	522	534	56.8	176
21	5715	20	1863	641	612	610	82.1	490
21	5715	25	1853	643	604	606	83.2	923
23	750	30	1332	480	423	429	20.8	972
23	1140	40	1450	502	469	479	35.1	419
23	1170	50	1695	590	552	553	64.2	244
23	1290	50	1509	524	493	492	42.3	41
23	1290	53	1746	612	561	573	71.3	615
23	2150	50	1592	539	530	523	54.4	596
23	3120	50	1629	542	538	549	58.1	661
23	3140	50	1459	518	474	467	31.5	829
23	3150	10	2090	735	683	672	100	738
23	3150	40	1392	464	469	459	24.2	415
23	3150	60	1257	443	414	400	2.9	451
23	3150	65	1173	403	394	376	5.6	498
23	3150	70	1860	620	613	627	91.3	453
23	3150	300	0	0	0	0	0	0
23	3150	301	0	0	0	0	0	0
23	3290	5	1572	538	517	517	51.9	206
23	3530	50	1237	427	405	405	11	198
23	3620	40	1573	539	520	514	50.2	433
23	3845	40	1523	521	494	508	43.5	68
23	4090	50	1253	453	394	406	11.9	109
23	4130	50	1467	511	476	480	34.8	689
23	4660	50	1477	518	478	481	39.5	337
23	4830	30	1396	474	462	460	26.8	135
23	4860	50	1683	579	545	559	66.8	252
23	4910	50	1445	501	473	471	33.9	158
23	4920	50	1364	469	446	449	20.4	171
23	4970	40	1515	523	494	498	41.7	649
23	5850	20	1496	524	484	488	41.8	36
23	5850	40	1490	536	472	482	40.4	254
23	5850	50	1402	488	458	456	29.2	695
25	100	10	962	333	314	315	1.9	447
25	1650	10	1648	569	538	541	62	487
25	1650	50	1598	559	526	513	49.6	908
25	1650	55	1558	532	514	512	50.6	365
25	1650	60	1516	525	497	494	43.4	96
25	1650	70	1570	548	507	515	50.2	426
25	1650	80	1697	585	552	560	69.1	318
25	2105	50	1436	498	469	469	29.8	543
25	2120	50	1532	519	504	509	41.7	18
25	2230	20	1718	600	566	552	74.4	181
25	2400	10	1339	479	434	426	16.7	293
25	2430	50	1372	475	447	450	27.3	759
25	2770	50	1196	421	387	388	7.3	62
25	2930	50	1537	522	503	512	48.9	287
25	3040	50	1492	510	491	491	39.9	12
25	3160	50	1487	516	485	486	37.1	20
25	3160	53	1590	557	518	515	56.3	18
25	3260	4	1888	629	622	637	93.1	252
25	3260	10	2162	736	711	715	100	418
25	3260	20	1925	656	648	621	95.7	881
25	3260	25	2009	681	659	669	97.1	162
25	3260	28	2034	694	662	678	96.3	422
25	3270	50	1462	508	478	476	38.8	328
25	3510	50	1279	435	427	417	13	322
25	3810	30	1529	525	498	506	45.6	415
25	4365	50	1541	523	509	509	46.2	746
25	4580	50	1738	591	564	583	76.7	726
25	4760	50	1503	516	495	492	43.9	653
25	5310	50	1546	528	511	507	49.3	24
25	5420	50	1560	534	512	514	50.9	908
27	450	20	1424	491	468	465	27.3	725
27	630	20	1498	505	496	497	38.2	695
27	785	10	1744	590	568	586	74.3	223
27	1110	40	1468	507	479	482	35.9	295
27	1990	50	1599	542	520	537	57.3	120
27	1990	70	1630	557	533	540	57.4	994
27	2380	20	1479	505	487	487	39	272
27	2460	50	1639	567	530	542	62.2	110
27	2870	50	1735	597	564	574	66.9	829
27	3340	10	1654	570	538	546	64.1	174
27	3365	20	2140	742	696	702	100	625
27	3365	50	1676	566	553	557	72.4	386
27	3370	50	1538	538	499	501	45.7	268
27	3370	60	1577	543	517	517	50.9	211
27	3385	50	1410	557	540	541	63.3	903
27	3450	10	1575	549	511	515	51.5	972
27	3460	50	1699	569	567	563	64.2	58
27	3950	50	1561	540	504	517	47.1	874
27	3950	53	1617	568	518	531	60.6	506
27	4080	50	1645	573	527	545	65.9	821
27	4330	50	1696	576	557	563	70.7	331
27	4560	50	1534	519	508	507	46	75
27	5660	30	1655	565	545	545	65.9	625
27	5660	50	1730	593	564	573	73.3	330
29	185	30	1470	517	477	476	35.5	195
29	530	20	1471	500	491	480	37.2	752
29	530	25	1451	494	479	478	32.5	58
29	770	30	1420	498	469	453	26	934
29	2360	20	1529	534	500	495	45.3	515
29	2360	25	1491	525	483	483	37.6	35
29	2480	20	1461	501	479	481	36.2	212
29	2520	50	1102	400	361	341	6.1	940
29	2940	40	1429	497	463	469	33.6	457
29	3790	45	1922	672	627	623	100	182
29	3790	55	1469	491	494	484	29.7	586
29	4105	50	1499	517	496	486	41.3	427
29	4190	10	1454	487	487	480	37.9	286
29	4210	30	1520	526	498	496	44.1	630
29	4220	50	1566	530	513	523	59.6	531
29	4950	50	1500	519	495	486	44	963
29	5190	30	1517	525	495	497	39.3	974
29	5190	40	1527	537	493	497	44.5	27
29	5190	50	1446	498	481	467	32.4	481
31	900	30	1420	490	462	468	29.5	367
31	2100	50	1469	508	478	483	38.5	278
31	2510	50	1533	520	510	503	43.4	892
31	3970	50	1183	416	383	384	4.7	859
31	3980	10	1292	444	429	419	14.2	893
31	3990	50	1432	501	465	466	30.6	949
31	3995	50	1312	455	429	428	15.5	86
31	4010	1	0	0	0	0	0	0
31	4010	2	1070	366	362	342	0	749
31	4010	3	1061	369	344	348	0	961
31	4010	4	0	0	0	0	0	0
31	4010	5	0	0	0	0	0	0
31	4010	20	1210	404	407	399	4.1	447
31	4010	25	700	230	230	240	0	479
31	4010	35	1216	431	390	395	6.3	927
31	4010	304	1118	408	349	361	7	201
31	4010	305	1017	340	330	347	0	419
31	4010	306	918	312	295	311	0	206
31	4010	307	983	343	328	312	0	741
31	4230	50	1518	527	493	498	46.5	339
31	5570	50	1579	555	510	514	50.9	377
31	5570	55	1589	555	512	522	55	236
31	5650	40	1507	509	503	495	43	499
33	4070	50	1265	455	406	404	11.3	158
33	4075	50	1435	490	480	465	21.3	912
33	4150	40	1446	493	494	459	37	354
33	4630	50	1269	427	424	418	10.5	13
33	4640	40	1404	472	474	458	24.2	761
33	5910	50	1521	522	499	500	47.6	475
35	350	50	1738	597	568	573	71.6	66
35	490	20	1346	490	452	460	20.8	674
35	555	5	1691	593	546	552	66.4	48
35	1610	50	1426	497	466	463	32.5	293
35	2170	30	1674	579	542	553	66.7	907
35	3000	50	1359	462	447	450	23.9	591
35	3320	30	1836	631	597	608	82	787
35	3670	50	1381	480	448	453	23.8	839
35	4810	70	1397	484	475	438	7.7	716
35	4815	20	1646	559	547	540	61.1	893
35	4820	50	1616	558	525	533	61.7	853
35	5550	50	1688	578	553	557	63.9	937
37	2165	30	1509	512	501	496	38.7	287
37	2240	30	1453	487	485	481	33.7	556
37	2465	50	1514	528	501	485	40.6	959
37	2615	50	1496	506	492	498	42.1	509
37	3590	50	1497	518	497	482	35.5	870
37	4960	50	1582	538	524	520	53.1	608
37	5110	10	1381	461	469	451	26.7	288
37	5360	20	1515	518	501	496	48.4	371
37	5435	60	1530	525	499	506	46.1	149
39	310	5	1654	567	542	545	62.4	188
39	850	5	1488	512	485	491	38.7	941
39	980	30	1625	547	534	544	57.8	761
39	1320	25	1457	505	468	484	33.7	795
39	1320	401	1121	403	362	356	3.7	332
39	1320	402	1120	391	363	366	1	625
39	1320	403	1183	411	383	389	3.3	571
39	1320	404	1143	410	356	377	4	10
39	1320	405	1283	458	405	420	10.1	513
39	2190	50	1225	414	410	401	6.6	649
39	2420	10	1436	491	473	472	32.3	17
39	2660	50	1261	429	418	414	12.1	859
39	3560	50	1693	584	553	556	69.7	167
39	4160	50	1130	381	377	372	2.7	152
39	4160	51	0	0	0	0	0	0
39	4290	50	1347	466	445	436	21.9	350
39	4540	10	1192	410	387	395	4.4	800
39	4550	50	1393	484	458	451	24.5	843
39	4670	50	1601	556	522	523	58.3	151
39	5000	10	1524	524	497	503	43.2	622
39	5090	50	1692	579	551	562	68.4	924
39	5260	20	1810	618	596	596	82.8	363
39	5260	30	1743	600	579	564	84.7	803
39	5260	35	1664	552	563	549	66.7	559
39	5260	40	1960	682	642	636	98.5	655
39	5260	50	1587	548	521	518	65	160
39	5290	50	1364	470	447	447	22	977
39	5730	50	1742	597	567	578	71.8	277
41	280	20	1527	509	510	508	46.6	381
41	1870	50	1513	519	498	496	44.8	306
41	3675	50	1502	514	503	485	44.3	282
41	4100	50	1543	529	513	501	44.1	782
41	5460	50	1365	460	458	447	25	585
41	5465	50	1517	516	505	496	46.4	61
41	280	20	1527	509	510	508	46.6	381
41	1870	50	1513	519	498	496	44.8	306
41	3675	50	1502	514	503	485	44.3	282
41	4100	50	1543	529	513	501	44.1	782
41	5460	50	1365	460	458	447	25	585
41	5465	50	1517	516	505	496	46.4	61
80	6010	910	1188	414	395	379	0	765
80	6018	900	1311	462	421	428	15.4	487
80	6033	902	1117	380	372	365	2.4	820
80	6212	903	1211	409	404	398	14.1	855
80	6720	930	1155	396	379	380	0	260
80	7109	931	1175	408	369	398	5.2	861
80	7320	960	1681	580	541	560	67.8	191
80	7325	965	1224	415	393	416	4.9	662
80	7410	940	1379	437	478	464	31.3	862
80	7503	970	1211	413	391	407	7.1	703
80	8010	980	0	0	0	0	0	0
80	8060	990	1177	406	389	382	7.4	941
